tag	count	franchises
ahri (league of legends)	3502	league of legends
hiiragi kagami	3491	lucky star
reisalin stout	3479	atelier (series), atelier ryza, atelier ryza 1
exusiai (arknights)	3477	arknights
kosaka honoka	3475	love live!, love live! school idol project
futatsuiwa mamizou	3472	touhou
chloe von einzbern	3465	fate (series), fate/kaleid liner prisma illya, fate/grand order
ichinose shiki	3455	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
kiryuuin satsuki	3450	kill la kill
barbara (genshin impact)	3444	genshin impact
kikuchi makoto	3440	idolmaster, idolmaster (classic), idolmaster million live!
samidare (kancolle)	3429	kantai collection
kokkoro (princess connect!)	3428	princess connect!
robin (honkai: star rail)	3428	honkai: star rail, honkai (series)
yoko littner	3420	tengen toppa gurren lagann
hakui koyori	3408	hololive
jane doe (zenless zone zero)	3405	zenless zone zero
nonomi (blue archive)	3397	blue archive
w (arknights)	3388	arknights
kama (fate)	3384	fate (series), fate/grand order
nakano miku	3382	go-toubun no hanayome
hifumi (blue archive)	3378	blue archive
graf zeppelin (kancolle)	3375	kantai collection
izumi konata	3368	lucky star
jean (genshin impact)	3364	genshin impact
miyako (blue archive)	3364	blue archive
emilia (re:zero)	3363	re:zero kara hajimeru isekai seikatsu
mudrock (arknights)	3361	arknights
wakasagihime	3356	touhou
tatsuta (kancolle)	3351	kantai collection
tsushima yoshiko	3347	love live!, love live! sunshine!!
ump45 (girls' frontline)	3347	girls' frontline
fuwawa abyssgard	3340	hololive, hololive english
kisaragi chihaya	3336	idolmaster, idolmaster (classic), idolmaster million live!
letty whiterock	3330	touhou
kishin sagume	3327	touhou
souryuu (kancolle)	3315	kantai collection
silver wolf (honkai: star rail)	3309	honkai (series), honkai: star rail
unicorn (azur lane)	3305	azur lane
mococo abyssgard	3283	hololive, hololive english
ooi (kancolle)	3281	kantai collection
bowsette	3279	mario (series), new super mario bros. u deluxe
nice nature (umamusume)	3275	umamusume
mayuzumi fuyuko	3274	idolmaster, idolmaster shiny colors
kanzaki ranko	3272	idolmaster, idolmaster cinderella girls
tatsumaki	3272	one-punch man
minase iori	3260	idolmaster, idolmaster (classic)
shiranui (kancolle)	3254	kantai collection
stocking (psg)	3251	panty & stocking with garterbelt
narmaya (granblue fantasy)	3235	granblue fantasy
ultimate madoka	3230	mahou shoujo madoka magica, mahou shoujo madoka magica (anime), mahou shoujo madoka magica: hangyaku no monogatari
kumoi ichirin	3228	touhou
mario	3228	mario (series), new super mario bros. u deluxe, super smash bros.
akashi (kancolle)	3216	kantai collection
yoimiya (genshin impact)	3205	genshin impact
kaedehara kazuha	3196	genshin impact
florence nightingale (fate)	3182	fate (series), fate/grand order
shiroko (swimsuit) (blue archive)	3180	blue archive
kitasan black (umamusume)	3177	umamusume
yuuka (track) (blue archive)	3177	blue archive
amami haruka	3160	idolmaster, idolmaster (classic), idolmaster million live!
yamashiro (kancolle)	3155	kantai collection
medusa (rider) (fate)	3148	fate (series), fate/stay night, fate/grand order
ganaha hibiki	3135	idolmaster, idolmaster (classic)
meiko (vocaloid)	3127	vocaloid
shokuhou misaki	3119	toaru majutsu no index, toaru kagaku no railgun, toaru kagaku no mental out
sakurauchi riko	3117	love live!, love live! sunshine!!
yamakaze (kancolle)	3110	kantai collection
zuihou (kancolle)	3104	kantai collection
bridget (guilty gear)	3100	guilty gear, guilty gear strive, guilty gear xx
lily white	3097	touhou
midoriya izuku	3087	boku no hero academia
pecorine (princess connect!)	3077	princess connect!
nico robin	3075	one piece
karin (bunny) (blue archive)	3074	blue archive
don-chan (usada pekora)	3073	hololive
jack the ripper (fate/apocrypha)	3066	fate (series), fate/apocrypha, fate/grand order
