tag	count	franchises
wa2000 (girls' frontline)	2612	girls' frontline
nian (arknights)	2610	arknights
hanako (swimsuit) (blue archive)	2609	blue archive
rika (pokemon)	2607	pokemon, pokemon sv
ash ketchum	2606	pokemon, pokemon (anime), pokemon (classic anime)
arcueid brunestud	2603	tsukihime, tsukihime (remake), fate (series)
z3 max schultz (kancolle)	2600	kantai collection
don quixote (project moon)	2589	project moon, limbus company
furude rika	2588	higurashi no naku koro ni
kawaragi momoka	2588	girls band cry
i-19 (kancolle)	2584	kantai collection
medicine melancholy	2578	touhou
female admiral (kancolle)	2570	kantai collection
kanna kamui	2568	kobayashi-san chi no maidragon
sakamata chloe (1st costume)	2566	hololive
ouro kronii (1st costume)	2558	hololive, hololive english
super sonico	2558	nitroplus
yoshida yuuko (machikado mazoku)	2554	machikado mazoku
kisume	2549	touhou, subterranean animism
maekawa miku	2548	idolmaster, idolmaster cinderella girls
azusa (blue archive)	2535	blue archive
i-401 (kancolle)	2535	kantai collection
gojou satoru	2531	jujutsu kaisen
warspite (kancolle)	2531	kantai collection
red (pokemon)	2526	pokemon, pokemon frlg, pokemon rgby
ichika (blue archive)	2524	blue archive
laffey (azur lane)	2523	azur lane
shinosawa hiro	2516	gakuen idolmaster, idolmaster
sanya v. litvyak	2514	world witches series, strike witches
hayami kanade	2512	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
sonic the hedgehog	2512	sonic (series), sonic the hedgehog (classic)
darkness (konosuba)	2505	kono subarashii sekai ni shukufuku wo!
rosalina	2500	mario (series), super mario galaxy, super smash bros.
jinx (league of legends)	2494	league of legends, arcane: league of legends
hibiki (blue archive)	2492	blue archive
kirigiri kyoko	2489	danganronpa (series), danganronpa: trigger happy havoc, danganronpa 2: goodbye despair
enoshima junko	2487	danganronpa (series), danganronpa: trigger happy havoc, danganronpa 2: goodbye despair
inugami korone (1st costume)	2486	hololive
diluc (genshin impact)	2482	genshin impact
mika (girls und panzer)	2480	girls und panzer
akai haato	2477	hololive
lana (pokemon)	2466	pokemon, pokemon sm, pokemon (anime)
star sapphire	2466	touhou
katsushika hokusai (fate)	2461	fate/grand order, fate (series)
kamado nezuko	2459	kimetsu no yaiba
mori calliope (1st costume)	2457	hololive, hololive english
satou kazuma	2453	kono subarashii sekai ni shukufuku wo!
nakano yotsuba	2451	go-toubun no hanayome
z1 leberecht maass (kancolle)	2450	kantai collection
eila ilmatar juutilainen	2440	world witches series, strike witches
seele vollerei	2431	honkai (series), honkai impact 3rd
tsukishiro yanagi	2428	zenless zone zero
alice (alice in wonderland)	2421	alice in wonderland, original
aventurine (honkai: star rail)	2417	honkai: star rail, honkai (series)
tsukino mito	2417	nijisanji
specter (arknights)	2413	arknights
boko (girls und panzer)	2411	girls und panzer
kirima syaro	2410	gochuumon wa usagi desu ka?
hikari (blue archive)	2407	blue archive
hatsuzuki (kancolle)	2405	kantai collection
seaport princess	2404	kantai collection
arima kana	2399	oshi no ko
gumi	2399	vocaloid
urakaze (kancolle)	2393	kantai collection
herta (honkai: star rail)	2388	honkai (series), honkai: star rail
koshimizu sachiko	2385	idolmaster, idolmaster cinderella girls
hiryuu (kancolle)	2380	kantai collection
yuki miku	2376	vocaloid
common raccoon (kemono friends)	2371	kemono friends
nozomi (blue archive)	2368	blue archive
taihou (kancolle)	2360	kantai collection
wise (zenless zone zero)	2360	zenless zone zero
momosuzu nene	2356	hololive
alhaitham (genshin impact)	2354	genshin impact
tokitsukaze (kancolle)	2354	kantai collection
asakura toru	2351	idolmaster, idolmaster shiny colors
black swan (honkai: star rail)	2351	honkai: star rail, honkai (series)
motoori kosuzu	2344	touhou
kokona (blue archive)	2342	blue archive
takami chika	2339	love live!, love live! sunshine!!
jeanne d'arc alter (swimsuit berserker) (fate)	2338	fate/grand order, fate (series)
black rock shooter (character)	2337	black rock shooter
peroro (blue archive)	2337	blue archive
angelina (arknights)	2335	arknights
takao (azur lane)	2332	azur lane
koseki bijou	2331	hololive, hololive english
hoshino (swimsuit) (blue archive)	2327	blue archive
ohtsuki yui	2325	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
admire vega (umamusume)	2324	umamusume
laios touden	2323	dungeon meshi
maya (kancolle)	2323	kantai collection
haruno sakura	2317	naruto (series), naruto, naruto shippuuden
hachimiya meguru	2312	idolmaster, idolmaster shiny colors
saratoga (kancolle)	2311	kantai collection
yorigami jo'on	2310	touhou
enterprise (azur lane)	2308	azur lane
wakamo (blue archive)	2308	blue archive
mikasa ackerman	2307	shingeki no kyojin
juliana (pokemon)	2298	pokemon, pokemon sv
yukine chris	2296	senki zesshou symphogear
twin turbo (umamusume)	2292	umamusume
reze (chainsaw man)	2289	chainsaw man
hilda valentine goneril	2288	fire emblem, fire emblem: three houses, fire emblem heroes
clorinde (genshin impact)	2287	genshin impact
ningguang (genshin impact)	2283	genshin impact
takatsuki yayoi	2283	idolmaster, idolmaster (classic), idolmaster 1
zhu yuan	2282	zenless zone zero
chihaya anon	2281	bang dream!, bang dream! it's mygo!!!!!
sessyoin kiara	2281	fate (series), fate/grand order, fate/extra
higashiyama kobeni	2277	chainsaw man
nekomata okayu (1st costume)	2273	hololive
mash kyrielight (dangerous beast)	2271	fate (series), fate/grand order
ump9 (girls' frontline)	2270	girls' frontline
akagi (azur lane)	2269	azur lane
fennec (kemono friends)	2268	kemono friends
hoshimachi suisei (1st costume)	2264	hololive
aisaka taiga	2263	toradora!
luna child	2261	touhou
melusine (fate)	2261	fate/grand order, fate (series)
fairy (kancolle)	2255	kantai collection
saki (blue archive)	2253	blue archive
chouzetsusaikawa tenshi-chan	2252	needy girl overdose
reizei mako	2252	girls und panzer
skadi the corrupting heart (arknights)	2251	arknights
oma kokichi	2248	danganronpa (series), danganronpa v3: killing harmony
octoling girl	2247	splatoon (series), splatoon 2, splatoon 3
makise kurisu	2246	steins;gate
roronoa zoro	2246	one piece
kieran (pokemon)	2245	pokemon, pokemon sv
lum	2236	urusei yatsura
kaga (azur lane)	2233	azur lane
lize helesta	2231	nijisanji
mayano top gun (umamusume)	2223	umamusume
unryuu (kancolle)	2223	kantai collection
yahagi (kancolle)	2218	kantai collection
isokaze (kancolle)	2216	kantai collection
yoru (chainsaw man)	2216	chainsaw man
suigintou	2214	rozen maiden
usami sumireko	2212	touhou
takane lui	2211	hololive
lysithea von ordelia	2209	fire emblem, fire emblem: three houses, fire emblem heroes
natsu (blue archive)	2209	blue archive
yuuki makoto (persona 3)	2207	persona, persona 3, persona 3 portable
kiyoshimo (kancolle)	2184	kantai collection
akigumo (kancolle)	2179	kantai collection
la+ darknesss (1st costume)	2177	hololive
senjougahara hitagi	2176	monogatari (series), bakemonogatari
mihono bourbon (umamusume)	2174	umamusume
gran (granblue fantasy)	2172	granblue fantasy
yuki setsuna	2172	love live!, love live! nijigasaki high school idol club
dizzy (guilty gear)	2170	guilty gear, guilty gear xrd, guilty gear strive
miura azusa	2168	idolmaster, idolmaster (classic), idolmaster 1
curren chan (umamusume)	2166	umamusume
tippy (gochiusa)	2164	gochuumon wa usagi desu ka?
ashigara (kancolle)	2158	kantai collection
tamamo cat (fate)	2156	fate (series), fate/grand order, fate/extra
yang xiao long	2155	rwby
kochou shinobu	2154	kimetsu no yaiba
elysia (miss pink elf) (honkai impact)	2152	honkai (series), honkai impact 3rd
sunny milk	2152	touhou
bb (swimsuit mooncancer) (fate)	2149	fate (series), fate/grand order
oguri cap (umamusume)	2141	umamusume
hyuuga hinata	2140	naruto (series), naruto shippuuden, naruto
shiratsuyu (kancolle)	2140	kantai collection
matsuura kanan	2138	love live!, love live! sunshine!!
ranma-chan	2129	ranma 1/2
lunasa prismriver	2126	touhou
navia (genshin impact)	2125	genshin impact
rover (wuthering waves)	2125	wuthering waves
i-58 (kancolle)	2124	kantai collection
ibaraki douji (fate)	2124	fate/grand order, fate (series)
kudamaki tsukasa	2124	touhou
ayase momo	2118	dandadan
kaenbyou rin (cat)	2116	touhou
dodoco (genshin impact)	2112	genshin impact
oberon (fate)	2109	fate (series), fate/grand order
kicchou yachie	2106	touhou
narukami yuu	2106	persona, persona 4, persona 3
lilith (darkstalkers)	2103	darkstalkers
theresa apocalypse	2100	honkai (series), honkai impact 3rd
anastasia (fate)	2095	fate/grand order, fate (series)
makinami mari illustrious	2093	neon genesis evangelion, rebuild of evangelion, evangelion: 2.0 you can (not) advance
kasane teto (sv)	2088	utau, synthesizer v, vocaloid
bb (fate/extra)	2086	fate (series), fate/extra, fate/extra ccc
sonia (pokemon)	2085	pokemon, pokemon swsh
shinjou akane	2081	gridman universe, ssss.gridman
kumano (kancolle)	2079	kantai collection
naka (kancolle)	2079	kantai collection
satonaka chie	2076	persona, persona 4
fou (fate)	2075	fate (series), fate/grand order
taigei (kancolle)	2073	kantai collection
elysia (herrscher of human: ego) (honkai impact)	2067	honkai (series), honkai impact 3rd
hanekawa tsubasa	2067	monogatari (series), bakemonogatari, nekomonogatari
tighnari (genshin impact)	2067	genshin impact
lyn (fire emblem)	2063	fire emblem, fire emblem: the blazing blade, fire emblem heroes
pyonta	2063	touhou
matara okina	2062	touhou
ryuuguu rena	2059	higurashi no naku koro ni
uzuki (kancolle)	2058	kantai collection
neuvillette (genshin impact)	2057	genshin impact
saten ruiko	2055	toaru majutsu no index, toaru kagaku no railgun
citlali (genshin impact)	2054	genshin impact
kagari atsuko	2051	little witch academia
kousaka kirino	2048	ore no imouto ga konna ni kawaii wake ga nai
ushiwakamaru (fate)	2047	fate (series), fate/grand order
shinomiya kaguya	2041	kaguya-sama wa kokurasetai ~tensai-tachi no renai zunousen~
mari (track) (blue archive)	2033	blue archive
haruna (blue archive)	2032	blue archive
slime (genshin impact)	2031	genshin impact
shima rin	2028	yurucamp
blade (honkai: star rail)	2025	honkai: star rail, honkai (series)
akagi miria	2024	idolmaster, idolmaster cinderella girls
kujou sara	2024	genshin impact
changli (wuthering waves)	2022	wuthering waves
ak-12 (girls' frontline)	2020	girls' frontline
togawa sakiko	2020	bang dream!, bang dream! it's mygo!!!!!
adachi rei	2019	a.i. voice, utau, vocaloid
gotland (kancolle)	2015	kantai collection
nagasaki soyo	2014	bang dream!, bang dream! it's mygo!!!!!
harusame (kancolle)	2010	kantai collection
yuzuki choco	2010	hololive
eishin flash (umamusume)	2007	umamusume
chitanda eru	2006	hyouka
nero claudius (swimsuit caster) (fate)	2006	fate (series), fate/grand order, fate/extra
springfield (girls' frontline)	2006	girls' frontline
rotom	2003	pokemon, pokemon sv, pokemon swsh
android 18	2002	dragon ball, dragon ball z
shun (blue archive)	2001	blue archive
shirogane naoto	1997	persona, persona 4
kaeya (genshin impact)	1995	genshin impact
yu mei-ren (fate)	1994	fate (series), fate/grand order
morpeko	1991	pokemon, pokemon swsh
himemori luna	1990	hololive
kouzuki kallen	1988	code geass
albedo (genshin impact)	1985	genshin impact
kashiwazaki sena	1978	boku wa tomodachi ga sukunai
kasumi kai ni (kancolle)	1978	kantai collection
meltryllis (swimsuit lancer) (fate)	1976	fate (series), fate/grand order
oboro (kancolle)	1976	kantai collection
uzumaki naruto	1975	naruto (series), naruto, naruto shippuuden
tamamo no mae (swimsuit lancer) (fate)	1973	fate (series), fate/grand order, fate/extra
yanfei (genshin impact)	1972	genshin impact
kiso (kancolle)	1970	kantai collection
itadori yuuji	1965	jujutsu kaisen
touhoku kiritan	1962	voiceroid, vocaloid
kirito	1960	sword art online, sword art online: alicization
kurosawa dia	1960	love live!, love live! sunshine!!
kikyou (blue archive)	1955	blue archive
suzutsuki (kancolle)	1952	kantai collection
akizuki (kancolle)	1950	kantai collection
houjou satoko	1948	higurashi no naku koro ni
leonardo da vinci (fate)	1948	fate (series), fate/grand order
sakura futaba	1948	persona, persona 5
shirase sakuya	1947	idolmaster, idolmaster shiny colors
houshou marine (summer)	1946	hololive
hoshikawa sara	1943	nijisanji
lisa (genshin impact)	1940	genshin impact
amy rose	1939	sonic (series)
elira pendora	1939	nijisanji, nijisanji en
satsuki (kancolle)	1934	kantai collection
takanashi rikka	1934	chuunibyou demo koi ga shitai!
kanroji mitsuri	1932	kimetsu no yaiba
saria (arknights)	1930	arknights
bakugou katsuki	1929	boku no hero academia
erica hartmann	1927	world witches series, strike witches, strike witches: suomus misfits squadron
aoba (kancolle)	1925	kantai collection
hassan of serenity (fate)	1917	fate (series), fate/prototype, fate/prototype: fragments of blue and silver
faust (project moon)	1915	project moon, limbus company
jintsuu (kancolle)	1915	kantai collection
morino rinze	1915	idolmaster, idolmaster shiny colors
mysterious heroine xx (fate)	1914	fate (series), fate/grand order
robin (female) (fire emblem)	1913	fire emblem, fire emblem awakening, fire emblem heroes
haruka (blue archive)	1911	blue archive
yura (kancolle)	1909	kantai collection
asui tsuyu	1906	boku no hero academia
goldenglow (arknights)	1906	arknights
saihara shuichi	1906	danganronpa (series), danganronpa v3: killing harmony
miyafuji yoshika	1902	world witches series, strike witches
sirius symboli (umamusume)	1901	umamusume
st. louis (azur lane)	1901	azur lane
tokisaki kurumi	1900	date a live
minato aqua (1st costume)	1899	hololive
irene (arknights)	1897	arknights, ambience synesthesia
oumae kumiko	1896	hibike! euphonium
kagerou (kancolle)	1895	kantai collection
skyla (pokemon)	1892	pokemon, pokemon bw
lynette (genshin impact)	1891	genshin impact
sora harewataru	1889	precure, hirogaru sky! precure
gambier bay (kancolle)	1888	kantai collection
takanashi kiara (1st costume)	1888	hololive, hololive english
carmine (pokemon)	1886	pokemon, pokemon sv
osaki amana	1883	idolmaster, idolmaster shiny colors
kamikaze (kancolle)	1882	kantai collection
ranni the witch	1879	elden ring
kuwayama chiyuki	1878	idolmaster, idolmaster shiny colors
morikubo nono	1877	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
9s (nier:automata)	1874	nier (series), nier:automata
kunikida hanamaru	1871	love live!, love live! sunshine!!
u-511 (kancolle)	1867	kantai collection
koyanskaya (fate)	1866	fate (series), fate/grand order
camilla (fire emblem)	1865	fire emblem, fire emblem fates, fire emblem heroes
mankanshoku mako	1864	kill la kill
vodka (umamusume)	1864	umamusume
king halo (umamusume)	1863	umamusume
uehara ayumu	1863	love live!, love live! nijigasaki high school idol club
nonna (girls und panzer)	1860	girls und panzer
hoshino ai	1858	oshi no ko
selen tatsuki	1858	nijisanji, nijisanji en
javelin (azur lane)	1857	azur lane, azur lane: slow ahead
azki (hololive)	1852	hololive
akuma homura	1851	mahou shoujo madoka magica, mahou shoujo madoka magica: hangyaku no monogatari
takamaki anne	1850	persona, persona 5
komi shouko	1846	komi-san wa komyushou desu
p-head producer	1839	idolmaster, idolmaster cinderella girls, idolmaster shiny colors
pola (kancolle)	1838	kantai collection
fusou (kancolle)	1835	kantai collection
akatsuki kirika	1834	senki zesshou symphogear
shigure ui (vtuber)	1833	indie virtual youtuber, hololive
raora panthera	1830	hololive, hololive english
shoebill (kemono friends)	1830	kemono friends
yae sakura	1828	honkai (series), honkai impact 3rd
mallow (pokemon)	1827	pokemon, pokemon sm, pokemon (anime)
hagiwara yukiho	1824	idolmaster, idolmaster (classic), idolmaster million live!
ange katrina	1822	nijisanji
michishio (kancolle)	1821	kantai collection
marina (splatoon)	1813	splatoon (series), splatoon 2, splatoon 3
mogami (kancolle)	1811	kantai collection
mr. c.b. (umamusume)	1809	umamusume
mutsuki (kancolle)	1809	kantai collection
cyno (genshin impact)	1808	genshin impact
fujita kotone	1808	gakuen idolmaster, idolmaster
artoria pendragon (lancer alter) (fate)	1805	fate (series), fate/grand order
